	author	author_type	url	location	deal_type	accommodation_type	floor	floors_count	rooms_count	total_meters	price	district	street	house_number	underground	residential_complex
224	Стадион Спартак	developer	https://www.cian.ru/sale/flat/292442347/	Москва	sale	flat	3	13	1	45.4	23081360	Покровское-Стрешнево	Северо-Западный ао		Спартак	Клубный Город на Реке Примавера ЖК
225	TimeProperty	real_estate_agent	https://www.cian.ru/sale/flat/292945866/	Москва	sale	flat	5	15	2	57.4	33000000	Якиманка	 Шаболовка	23к2	Шаболовская	Созвездие Капитал-1
226	КОРТРОС	developer	https://www.cian.ru/sale/flat/289743607/	Москва	sale	flat	33	41	2	66.47	32756416	Пресненский	Шелепихинское шоссе		Шелепиха	Headliner
227	Intermark Real Estate	real_estate_agent	https://www.cian.ru/sale/flat/271842660/	Москва	sale	flat	3	9	2	65.0	85747999	Пресненский	Большая Бронная 	9/1	Пушкинская	
228	VOS HOD	developer	https://www.cian.ru/sale/flat/300560439/	Москва	sale	flat	8	17	2	71.8	43991860	Филевский парк	 Василисы Кожиной	вл25/1	Филёвский парк	AHEAD
229	Intermark Real Estate	real_estate_agent	https://www.cian.ru/sale/flat/290380827/	Москва	sale	flat	2	6	2	107.0	157776319	Таганский	Серебряническая набережная	19	Чкаловская	АртХаус
230	Sminex	developer	https://www.cian.ru/sale/flat/303125654/	Москва	sale	flat	8	14	1	44.6	25870000	Раменки	проспект Генерала Дорохова	39к2Л	Ломоносовский проспект	Собрание клубных домов West Garden
231	TimeProperty	real_estate_agent	https://www.cian.ru/sale/flat/296060335/	Москва	sale	flat	51	53	2	37.4	19500000	Очаково-Матвеевское		к1	Мичуринский проспект	Левел Мичуринский ЖК
232	Концерн КРОСТ	developer	https://www.cian.ru/sale/flat/298380294/	Москва	sale	flat	4	19	2	62.1	27572400	Щукино	 Ротмистрова	2	Октябрьское поле	Театральный квартал
233	Intermark Real Estate	real_estate_agent	https://www.cian.ru/sale/flat/290380842/	Москва	sale	flat	33	73	2	103.0	110000000	Пресненский	набережная Пресненская	8с1	Деловой центр	Город Столиц
234	Центр-Инвест	representative_developer	https://www.cian.ru/sale/flat/304087556/	Москва	sale	flat	7	15	2	40.8	24984579	Раменки	Винницкая 	8к3	Раменки	Настоящее
235	Артем Ченцов	realtor	https://www.cian.ru/sale/flat/302772342/	Москва	sale	flat	9	30	2	49.8	26000000	Хорошево-Мневники	Шелепихинская набережная	40к3	Хорошёвская	Sydney City
236	Sense Development	developer	https://www.cian.ru/sale/flat/298147711/	Москва	sale	flat	12	13	1	43.7	27609617	Даниловский	Подольское шоссе	3	Тульская	Logos
237	СОВКОМБАНК	official_representative	https://www.cian.ru/sale/flat/297233032/	Москва	sale	flat	12	12	1	39.0	9700000	Гольяново	Уральская 	1	Щёлковская	
238	СТ Тауэрс	developer	https://www.cian.ru/sale/flat/302833885/	Москва	sale	flat	42	66	2	67.4	64704000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
239	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/294511036/	Москва	sale	flat	4	23	2	90.6	45000000	Хорошевский	 Гризодубовой	2	ЦСКА	Гранд-парк
240	КРОСТ	developer	https://www.cian.ru/sale/flat/296745539/	Москва	sale	flat	21	28	1	36.9	18117900	Хорошево-Мневники	 Генерала Глаголева			CRYSTAL Трилогия
241	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/301520504/	Москва	sale	flat	2	21	2	116.0	142000000	Пресненский	 Костикова	4к3	Улица 1905 года	Lucky
242	Sminex	developer	https://www.cian.ru/sale/flat/304094787/	Москва	sale	flat	3	24	1	51.4	53340000	Пресненский	Электрический переулок	1с22	Белорусская	Квартал Тишинский бульвар
243	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/301353911/	Москва	sale	flat	5	7	2	69.7	100564740	Арбат	Поварская 	8/1к1	Арбатская	De Luxe квартал апартаментов 
244	ДОНСТРОЙ	developer	https://www.cian.ru/sale/flat/304095934/	Москва	sale	flat	4	50	2	68.5	29372800	Раменки	м. Мичуринский проспект		Мичуринский проспект	Событие
