	author	author_type	url	location	deal_type	accommodation_type	floor	floors_count	rooms_count	total_meters	price	district	street	house_number	underground	residential_complex
0	VESPER	developer	https://www.cian.ru/sale/flat/262519758/	Москва	sale	flat	5	21	2	110.6	103787040	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
1	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/302081797/	Москва	sale	flat	2	10	2	69.4	85000000	Тверской	 Палиха	4	Менделеевская	Клубный дом Maison Rouge
2	MR Group	developer	https://www.cian.ru/sale/flat/294196808/	Москва	sale	flat	33	41	2	75.2	38352000	Филевский парк	Багратионовский проезд	5Ак1	Фили	Filicity
3	ID 85604823	unknown	https://www.cian.ru/sale/flat/299429352/	Москва	sale	flat	38	51	2	63.0	36000000	Пресненский	Шмитовский проезд	39к8	Шелепиха	Headliner
4	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040420/	Москва	sale	flat	4	6	2	74.91	124200780	Замоскворечье	Космодамианская набережная	4/22С8	Новокузнецкая	Клубный дом Космо 4/22
5	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/276019027/	Москва	sale	flat	6	6	2	130.0	58000000	Беговой	 3-я Ямского Поля	9	Белорусская	Art Residence
6	Главстрой	developer	https://www.cian.ru/sale/flat/296921240/	Москва	sale	flat	3	26	2	65.8	27526142	Филевский парк	Береговой проезд	2	Народное Ополчение	Береговой-2
7	САДОВЫЕ КВАРТАЛЫ	real_estate_agent	https://www.cian.ru/sale/flat/303087931/	Москва	sale	flat	7	15	2	120.0	149500000	Хамовники	 Усачева	15	Спортивная	Садовые кварталы
8	Среда	developer	https://www.cian.ru/sale/flat/303859205/	Москва	sale	flat	6	27	2	53.6	20630640	Очаково-Матвеевское	Очаково мкр		Аминьевская	Среда на Лобачевского
9	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/298050405/	Москва	sale	flat	7	9	2	108.3	169000000	Тверской	1-я Тверская-Ямская 	2	Маяковская	Vesper Tverskaya
10	VESPER	developer	https://www.cian.ru/sale/flat/286258299/	Москва	sale	flat	5	9	2	104.2	143796000	Тверской	1-я Тверская-Ямская 	2	Маяковская	Vesper Tverskaya
11	GRAND ESTATE - Премиальная недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/302837942/	Москва	sale	flat	8	18	2	84.0	62750000	Тверской	 Александра Невского	27	Белорусская	
12	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040534/	Москва	sale	flat	3	8	2	75.2	50308800	Замоскворечье	Шлюзовая набережная	2/1С1	Павелецкая	Элитный жилой комплекс 
13	NIKA ESTATE	real_estate_agent	https://www.cian.ru/sale/flat/303589233/	Москва	sale	flat	8	18	2	84.0	62750000	Тверской	 Александра Невского	27	Белорусская	
14	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/302186750/	Москва	sale	flat	19	27	2	73.0	33653000	Басманный	 Фридриха Энгельса	56	Бауманская	Премиум-квартал 
15	ID 111240424	homeowner	https://www.cian.ru/sale/flat/300143306/	Москва	sale	flat	38	52	2	63.0	36000000	Пресненский	Шмитовский проезд	39к1	Шелепиха	Headliner
16	PIONEER	developer	https://www.cian.ru/sale/flat/301513284/	Москва	sale	flat	4	22	2	47.2	24921930	Марьина роща	Полковая 	1С12	Савёловская	PRIDE
17	Kalinka Group	real_estate_agent	https://www.cian.ru/sale/flat/301493797/	Москва	sale	flat	9	32	2	63.0	50700000	Дорогомилово	Поклонная 	9	Поклонная	Поклонная 9
18	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/298516517/	Москва	sale	flat	2	11	2	47.0	24769000			В14 кв-л	Павшино	Сберсити ЖК
19	ID 86900871	realtor	https://www.cian.ru/sale/flat/297947020/	Москва	sale	flat	2	3	2	46.3	56000000	Басманный	 Маросейка	11/4С1	Китай-город	
20	MR Group	developer	https://www.cian.ru/sale/flat/299093508/	Москва	sale	flat	11	41	2	58.5	33468738	Даниловский	Дубининская 	59к7	Серпуховская	Павелецкая Сити
21	ID 112591621	homeowner	https://www.cian.ru/sale/flat/301839935/	Москва	sale	flat	13	45	2	51.0	31500000	Дорогомилово	Кутузовский проезд	16А/1	Деловой центр	River Park Кутузовский
22	Главстрой	developer	https://www.cian.ru/sale/flat/301772281/	Москва	sale	flat	2	8	2	48.83	24219680	Котловка	31/2	31/2	Профсоюзная	Новые Академики ЖК
23	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/302383452/	Москва	sale	flat	63	65	2	86.0	96000000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
24	ANT Development	developer	https://www.cian.ru/sale/flat/303519421/	Москва	sale	flat	2	10	2	59.8	66618396	Дорогомилово		3к8	Поклонная	Виктори Парк Резиденсез ЖК
25	Life Style	real_estate_agent	https://www.cian.ru/sale/flat/294212104/	Москва	sale	flat	34	78	2	76.1	62000000	Пресненский	1-й Красногвардейский проезд	22с2	Москва-Сити	NEVA TOWERS
26	Абсолют Недвижимость	developer	https://www.cian.ru/sale/flat/304065659/	Москва	sale	flat	4	17	2	49.8	53567000	Хамовники			Воробьёвы горы	Коллекция Лужники ЖК
27	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/303753500/	Москва	sale	flat	3	5	2	69.3	52000000	Хорошевский	Ленинградский проспект	37/5	Аэропорт	Прайм Парк
28	ANT Development	developer	https://www.cian.ru/sale/flat/303519450/	Москва	sale	flat	22	34	2	50.6	59236384	Дорогомилово	Поклонная 	9	Поклонная	Поклонная 9
29	Century 21 Street Realty	real_estate_agent	https://www.cian.ru/sale/flat/295800676/	Москва	sale	flat	4	17	2	44.5	39500000	Пресненский	Звенигородское шоссе	11	Улица 1905 года	Дизайнерский дом Eleven
30	Tekta Group	developer	https://www.cian.ru/sale/flat/301260478/	Москва	sale	flat	5	27	2	40.5	24036750	Даниловский			Павелецкая	Era
31	UINVEST	real_estate_agent	https://www.cian.ru/sale/flat/295055371/	Москва	sale	flat	6	16	1	38.7	9490000			к2.4	Румянцево	Тропарево Парк
32	COLDY	developer	https://www.cian.ru/sale/flat/303330158/	Москва	sale	flat	2	15	2	70.8	54813512	Даниловский	 Серпуховский Вал	7	Тульская	Дом 7 Даниловский
33	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/301565559/	Москва	sale	flat	5	21	2	117.0	120000000	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
34	Hutton Development	developer	https://www.cian.ru/sale/flat/303616433/	Москва	sale	flat	5	6	2	75.6	181440000	Якиманка	Софийская набережная	34С3	Новокузнецкая	Клубный дом DUO
35	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/272186797/	Москва	sale	flat	11	24	2	46.5	21900000	Головинский	Головинское шоссе	11	Водный стадион	Талисман на Водном
36	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/301919896/	Москва	sale	flat	2	7	2	72.1	26958190			В17 кв-л	Опалиха	Сберсити ЖК
37	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/272003903/	Москва	sale	flat	5	6	2	43.0	27500000	Беговой	 3-я Ямского Поля	9	Белорусская	Art Residence
38	Киноцентр	developer	https://www.cian.ru/sale/flat/302253810/	Москва	sale	flat	7	20	2	54.85	54795150	Пресненский	Дружинниковская 	15	Краснопресненская	SkyView
39	Бюро Эстейт Городская недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/301212653/	Москва	sale	flat	2	24	2	57.4	26000000	Хорошево-Мневники	Шелепихинская набережная	40к2	Шелепиха	Sydney City
40	СИТИ21	developer	https://www.cian.ru/sale/flat/292035501/	Москва	sale	flat	14	15	2	75.8	41390372	Останкинский	проспект Мира	95	Алексеевская	Hill8
41	Villagio Realty	real_estate_agent	https://www.cian.ru/sale/flat/303902201/	Москва	sale	flat	17	24	2	45.0	37000000	Хорошевский	Хорошевское шоссе	25Ак2	Полежаевская	Династия
42	MR Group	developer	https://www.cian.ru/sale/flat/300287958/	Москва	sale	flat	33	43	2	58.83	27333836	Савеловский	2-я Хуторская 	34	Дмитровская	SYMPHONY 34
43	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/300942839/	Москва	sale	flat	2	7	2	82.6	38000000	Беговой	Ленинградский проспект	15С28	Белорусская	Bolshevik
44	Мангазея	developer	https://www.cian.ru/sale/flat/301581592/	Москва	sale	flat	9	21	2	74.2	36238909	Щукино	Щукинская 		Щукинская	Интонация
45	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/299860953/	Москва	sale	flat	9	41	1	40.5	27000000	Хорошевский	Ленинградский проспект	37/3	Аэропорт	Прайм Парк
46	Tekta Group	developer	https://www.cian.ru/sale/flat/303224329/	Москва	sale	flat	7	34	2	41.4	21296160	Обручевский			Воронцовская	Эвер ЖК
47	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/299890518/	Москва	sale	flat	9	40	1	41.5	32000000	Хорошевский	Ленинградский проспект	37/4	ЦСКА	Прайм Парк
48	Tekta Group	developer	https://www.cian.ru/sale/flat/301259751/	Москва	sale	flat	23	42	2	41.6	25837760	Котловка	Севастопольский проспект	22А	Нагорная	Eniteo
49	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/301550653/	Москва	sale	flat	13	41	1	41.5	31000000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
50	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/293721204/	Москва	sale	flat	3	13	2	82.36	44400276			В20 кв-л	Павшино	Сберсити ЖК
51	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/292933473/	Москва	sale	flat	16	40	1	41.1	31500000	Хорошевский	Ленинградский проспект	37/4	ЦСКА	Прайм Парк
52	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/298516183/	Москва	sale	flat	2	12	2	85.94	38612842			В19 кв-л	Павшино	Сберсити ЖК
53	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/301763282/	Москва	sale	flat	39	41	2	56.9	40000000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
54	Пионер	developer	https://www.cian.ru/sale/flat/301459955/	Москва	sale	flat	4	11	2	85.3	70625414	Даниловский			Павелецкая	Опус ЖК
55	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/303582856/	Москва	sale	flat	4	21	2	56.2	60000000	Пресненский	2-я Звенигородская 	16	Улица 1905 года	Lucky
56	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/299934989/	Москва	sale	flat	4	13	2	81.26	34421736			В21 кв-л	Опалиха	Сберсити ЖК
57	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/298050415/	Москва	sale	flat	11	13	2	83.0	99000000	Хамовники	 Усачева	15А	Спортивная	Садовые кварталы
58	MR Group	developer	https://www.cian.ru/sale/flat/302792260/	Москва	sale	flat	4	13	2	85.76	106073457	Мещанский	Садовая-Сухаревская 	14	Цветной бульвар	Клубный дом Forum
59	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/303677788/	Москва	sale	flat	2	6	2	60.5	57475000	Пресненский	Большой Предтеченский переулок	22	Улица 1905 года	
60	Ташир	developer	https://www.cian.ru/sale/flat/264100219/	Москва	sale	flat	28	32	2	78.1	33753258	Черемушки	Херсонская 	43к5	Зюзино	ONYX Deluxe
61	Whitewill Москва-Сити	real_estate_agent	https://www.cian.ru/sale/flat/303800679/	Москва	sale	flat	50	64	2	85.0	63000000	Пресненский	1-й Красногвардейский проезд	22с2	Москва-Сити	NEVA TOWERS
62	EraOneHolding	developer	https://www.cian.ru/sale/flat/280427150/	Москва	sale	flat	3	5	2	178.6	150400000	Арбат	 Арбат	39	Смоленская	Artisan
63	ID 116872018	realtor	https://www.cian.ru/sale/flat/304010195/	Москва	sale	flat	48	69	2	70.0	67200000	Пресненский	Краснопресненская набережная	14Ак2	Москва-Сити	Capital Towers
64	Regions Development	developer	https://www.cian.ru/sale/flat/304060514/	Москва	sale	flat	2	23	2	72.1	35109224	Нагатинский затон	проспект Андропова	9/1к2	Технопарк	Dream Towers
65	Novel Estates	real_estate_agent	https://www.cian.ru/sale/flat/301247847/	Москва	sale	flat	15	77	2	98.0	90000000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
66	Regions Development	developer	https://www.cian.ru/sale/flat/303838127/	Москва	sale	flat	2	14	2	40.94	18353366	Преображенское	Жилой комплекс Преображенская площадь		Преображенская площадь	Преображенская площадь
67	Ramenky Realty	real_estate_agent	https://www.cian.ru/sale/flat/303087894/	Москва	sale	flat	9	14	2	99.71	118450000	Хамовники	 Усачева	15А	Спортивная	Садовые кварталы
68	Трансстройинвест	developer	https://www.cian.ru/sale/flat/301925930/	Москва	sale	flat	11	23	2	44.1	21442891	Очаково-Матвеевское	Очаково мкр		Озёрная	ОМ ЖК
69	ФСК Агент	real_estate_agent	https://www.cian.ru/sale/flat/300074305/	Москва	sale	flat	5	38	1	39.8	20000000	Останкинский	 Вильгельма Пика		Ботанический сад	Режиссёр
70	Концерн КРОСТ	developer	https://www.cian.ru/sale/flat/299370748/	Москва	sale	flat	3	6	2	44.0	23232000	Хорошево-Мневники	 Саляма Адиля	2А	Народное Ополчение	Wellton SPA Residence
71	NIKA ESTATE	real_estate_agent	https://www.cian.ru/sale/flat/303635688/	Москва	sale	flat	2	5	2	106.0	160000000	Тверской	Никольская 	10	Площадь Революции	St. Nickolas
72	Ташир	developer	https://www.cian.ru/sale/flat/274701405/	Москва	sale	flat	2	17	2	43.3	27062500	Раменки	Мичуринский проспект	вл30Б	Ломоносовский проспект	Legacy
73	ФСК Агент	real_estate_agent	https://www.cian.ru/sale/flat/298216770/	Москва	sale	flat	13	44	2	73.2	29500000	Хорошево-Мневники	к2/2	к2/2	Шелепиха	Сидней Сити ЖК
74	Сбербанк Капитал	developer	https://www.cian.ru/sale/flat/288177346/	Москва	sale	flat	2	7	2	112.8	118321582	Якиманка	Софийская набережная	36	Новокузнецкая	Резиденция 1864
75	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/299509241/	Москва	sale	flat	24	24	2	57.4	39000000	Хорошево-Мневники	Шелепихинская набережная	34к3зд7	Шелепиха	Сердце Столицы
76	COLDY	developer	https://www.cian.ru/sale/flat/297997312/	Москва	sale	flat	2	14	2	147.05	303725598	Хамовники	переулок 1-й Тружеников	12	Киевская	Хамовники 12
77	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/303137027/	Москва	sale	flat	2	5	2	106.0	160000000	Тверской	Никольская 	10	Площадь Революции	St. Nickolas
78	Стадион Спартак	developer	https://www.cian.ru/sale/flat/298406172/	Москва	sale	flat	4	13	2	66.7	32609630	Покровское-Стрешнево	Северо-Западный ао		Спартак	Клубный Город на Реке Примавера ЖК
79	Novel Estates	real_estate_agent	https://www.cian.ru/sale/flat/304063027/	Москва	sale	flat	2	16	2	59.0	36500000	Хамовники	Фрунзенская набережная	50	Спортивная	
80	Sminex	developer	https://www.cian.ru/sale/flat/303125490/	Москва	sale	flat	11	14	2	67.1	38790000	Раменки	проспект Генерала Дорохова	39к2М	Ломоносовский проспект	Собрание клубных домов West Garden
81	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/303071841/	Москва	sale	flat	19	32	1	32.2	25000000	Пресненский	Шмитовский проезд	39к2	Шелепиха	Headliner
82	Sense Development	developer	https://www.cian.ru/sale/flat/300501957/	Москва	sale	flat	7	13	2	64.9	35782232	Даниловский	Подольское шоссе	3	Тульская	Logos
83	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/303337092/	Москва	sale	flat	3	7	2	91.2	80000000	Басманный	Гороховский переулок	12с5	Курская	Гороховский 12
84	КРОСТ	developer	https://www.cian.ru/sale/flat/296745429/	Москва	sale	flat	26	28	2	47.5	22182500	Хорошево-Мневники	 Генерала Глаголева			CRYSTAL Трилогия
85	ALFA real estate	real_estate_agent	https://www.cian.ru/sale/flat/300967746/	Москва	sale	flat	6	24	2	40.0	16500000	Митино	Муравская 	46к3	Пятницкое шоссе	Эко-квартал Аквилон Митино
86	Sminex	developer	https://www.cian.ru/sale/flat/304094767/	Москва	sale	flat	3	24	2	55.9	77660000	Пресненский	Электрический переулок	1кАБ	Белорусская	Квартал Тишинский бульвар
87	ALFA real estate	real_estate_agent	https://www.cian.ru/sale/flat/300964449/	Москва	sale	flat	20	22	2	38.4	15500000	Южное Тушино	бульвар Яна Райниса	45К2	Сходненская	
88	Sminex	developer	https://www.cian.ru/sale/flat/293713880/	Москва	sale	flat	2	14	2	85.6	168270000	Якиманка			Боровицкая	Лаврушинский ЖК
89	MHEstate - Элитная недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/303820905/	Москва	sale	flat	10	14	1	65.2	35000000	Мещанский	 Гиляровского	50	Проспект Мира	
90	VESPER	developer	https://www.cian.ru/sale/flat/287317369/	Москва	sale	flat	5	21	1	65.9	78259545	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
91	ALFA real estate	real_estate_agent	https://www.cian.ru/sale/flat/301407636/	Москва	sale	flat	21	22	1	38.5	15500000	Южное Тушино	бульвар Яна Райниса	45К2	Сходненская	
92	MR Group	developer	https://www.cian.ru/sale/flat/303224692/	Москва	sale	flat	12	44	2	61.78	29208367	Марьина роща	 4-я Марьиной рощи	12К3	Марьина Роща	Mod
93	GLINCOM	official_representative	https://www.cian.ru/sale/flat/297952301/	Москва	sale	flat	2	6	2	90.0	34900000	Алексеевский	проспект Мира	102к2	Алексеевская	Парк Мира
94	Группа Родина	developer	https://www.cian.ru/sale/flat/285606685/	Москва	sale	flat	2	23	2	62.5	31200000	Ростокино		к2	Ботанический сад	Союз ЖК
95	Marry Lane Group	real_estate_agent	https://www.cian.ru/sale/flat/303980600/	Москва	sale	flat	4	10	2	44.3	34000000	Беговой	 1-я Ямского Поля	1к1	Белорусская	Slava
96	EraOneHolding	developer	https://www.cian.ru/sale/flat/284404561/	Москва	sale	flat	8	8	2	121.2	159473684	Арбат	 Арбат	24	Смоленская	Turandot Residences
97	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/289514736/	Москва	sale	flat	2	5	2	64.0	166400000	Хамовники	Пречистенская набережная	43	Кропоткинская	Carré Blanc
98	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040427/	Москва	sale	flat	4	6	1	51.2	57190400	Замоскворечье	Космодамианская набережная	4/22С9	Новокузнецкая	Клубный дом Космо 4/22
99	ЛИДЕР Риэлти	real_estate_agent	https://www.cian.ru/sale/flat/302153674/	Москва	sale	flat	9	41	1	40.4	31500000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
100	Главстрой	developer	https://www.cian.ru/sale/flat/298342644/	Москва	sale	flat	5	20	1	41.0	22168987	Филевский парк	Береговой проезд	2	Народное Ополчение	Береговой-2
101	ЛИДЕР Риэлти	real_estate_agent	https://www.cian.ru/sale/flat/303476125/	Москва	sale	flat	13	40	2	47.3	41150000	Хорошевский	Ленинградский проспект	37/3	Аэропорт	Прайм Парк
102	GloraX	developer	https://www.cian.ru/sale/flat/303476931/	Москва	sale	flat	10	21	2	67.62	38059999	Беговой	 1-я Ямского Поля	28С3	Белорусская	GloraX Premium Белорусская
103	ЛИДЕР Риэлти	real_estate_agent	https://www.cian.ru/sale/flat/303769583/	Москва	sale	flat	27	41	2	70.0	53900000	Хорошевский	Ленинградский проспект	37/5	Аэропорт	Прайм Парк
104	Среда	developer	https://www.cian.ru/sale/flat/303626069/	Москва	sale	flat	3	27	1	35.3	14988380	Очаково-Матвеевское	Очаково мкр		Аминьевская	Среда на Лобачевского
105	Point Estate Город	real_estate_agent	https://www.cian.ru/sale/flat/301035843/	Москва	sale	flat	3	7	2	99.0	80000000	Басманный	Гороховский переулок	12	Курская	Гороховский 12
106	Ташир	developer	https://www.cian.ru/sale/flat/302722354/	Москва	sale	flat	2	16	2	46.8	23868000	Даниловский	 Серпуховский Вал	1	Тульская	DECO RESIDENCE (Апартаменты премиум-класса)
107	Marry Lane Group	real_estate_agent	https://www.cian.ru/sale/flat/292853214/	Москва	sale	flat	36	41	2	58.3	33000000	Раменки	1-й Сетуньский проезд	вл8	Кутузовская	Hide
108	VESPER	developer	https://www.cian.ru/sale/flat/289484529/	Москва	sale	flat	8	9	1	64.5	89010000	Тверской	1-я Тверская-Ямская 	2	Маяковская	Vesper Tverskaya
109	ЛИДЕР Риэлти	real_estate_agent	https://www.cian.ru/sale/flat/302153579/	Москва	sale	flat	12	41	1	41.9	30900000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
110	Sminex	developer	https://www.cian.ru/sale/flat/303262395/	Москва	sale	flat	2	21	2	59.52	27900000	Марфино	 Академика Королева	21	Бутырская	Дом Достижение
111	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/301258691/	Москва	sale	flat	2	21	2	57.23	59000000	Пресненский	2-я Звенигородская 	16	Улица 1905 года	Lucky
112	Forma	developer	https://www.cian.ru/sale/flat/297983491/	Москва	sale	flat	5	29	2	64.8	29626560	Аэропорт	Часовая 	28к8	Сокол	SOUL
113	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/294872333/	Москва	sale	flat	17	18	2	117.0	179000000	Пресненский	2-я Звенигородская 	11	Улица 1905 года	Резиденция МОНЭ
114	Группа Родина	developer	https://www.cian.ru/sale/flat/303533945/	Москва	sale	flat	4	14	2	49.8	26021300	Можайский			Давыдково	Родина Парк ЖК
115	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/300701528/	Москва	sale	flat	11	41	2	67.1	33000000	Хорошево-Мневники	Шелепихинская набережная	34к6	Шелепиха	Сердце Столицы
116	Трансстройинвест	developer	https://www.cian.ru/sale/flat/301764354/	Москва	sale	flat	2	8	2	63.6	88149600	Мещанский	Большой Кисельный переулок	11/2с2	Тургеневская	Frank's house
117	ЛИДЕР Риэлти	real_estate_agent	https://www.cian.ru/sale/flat/303615601/	Москва	sale	flat	12	41	1	41.9	30900000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
118	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040538/	Москва	sale	flat	5	8	1	48.3	36852900	Замоскворечье	Шлюзовая набережная	2/1С1	Павелецкая	Элитный жилой комплекс 
119	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/302177521/	Москва	sale	flat	3	15	2	58.54	65000000	Пресненский	 Костикова	4к4	Улица 1905 года	Lucky
120	MR Group	developer	https://www.cian.ru/sale/flat/298278959/	Москва	sale	flat	2	37	2	64.3	41616568	Беговой	Ленинградский проспект	вл8	Белорусская	Slava
121	ZAPAD REALTY - офис Маршала Жукова	real_estate_agent	https://www.cian.ru/sale/flat/303919506/	Москва	sale	flat	22	43	1	44.0	29300000	Хорошево-Мневники	Шелепихинская набережная	34к6	Шелепиха	Сердце Столицы
122	Ташир	developer	https://www.cian.ru/sale/flat/299137381/	Москва	sale	flat	4	21	2	47.9	19339625	Очаково-Матвеевское	Аминьевское шоссе	6	Давыдково	West Tower (Апартаменты бизнес-класса)
123	Homeapp	real_estate_agent	https://www.cian.ru/sale/flat/302203106/	Москва	sale	flat	8	19	1	30.8	20750000	Беговой	Ленинградский проспект	29к3	Динамо	Царская площадь
124	Prime Life Development	developer	https://www.cian.ru/sale/flat/299132492/	Москва	sale	flat	6	28	2	59.76	29898807	Нагатино-Садовники	Нагатинская 	к1вл1	Нагатинская	Первый Нагатинский
125	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/303753508/	Москва	sale	flat	37	37	1	48.0	42000000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
126	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040411/	Москва	sale	flat	5	23	1	47.6	21372400	Басманный	 Фридриха Энгельса	56	Бауманская	Премиум-квартал 
127	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/301782648/	Москва	sale	flat	10	21	1	65.0	65000000	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
128	PIONEER	developer	https://www.cian.ru/sale/flat/303709179/	Москва	sale	flat	9	22	1	31.0	16667801	Марьина роща	Полковая 	1С12	Савёловская	PRIDE
129	Whitewill Москва-Сити	real_estate_agent	https://www.cian.ru/sale/flat/299330003/	Москва	sale	flat	63	66	1	86.0	96000000	Пресненский	1-й Красногвардейский проезд	22	Деловой центр	NEVA TOWERS
130	Пионер	developer	https://www.cian.ru/sale/flat/303979491/	Москва	sale	flat	4	25	2	56.59	23201273	Москворечье-Сабурово			Варшавская	Лайф Варшавская ЖК
131	ID 109135729	realtor	https://www.cian.ru/sale/flat/303087972/	Москва	sale	flat	3	21	2	58.54	61000000	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
132	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/298849163/	Москва	sale	flat	3	10	1	45.5	23596300			В14 кв-л	Павшино	Сберсити ЖК
